,max_current,min_current,flatness_pct,worst_pct,avg_err_pct,acc_nom_pct,name,type,time,OK
0,-20.622999999999998,-19.595000000000002,1.393642,3.141314,0.9938093,2.757561,SchGtKssThVl,Sch,Wed Jun 17 22:26:23 2026,True
1,-20.7093,-19.6451,1.45223,3.574708,1.314851,3.165451,SchGtKffThVl,Sch,Wed Jun 17 22:26:23 2026,True
2,-20.717299999999998,-19.6554,1.449689,3.614768,1.356994,3.205435,SchGtKsfThVl,Sch,Wed Jun 17 22:26:23 2026,True
3,-20.611800000000002,-19.587400000000002,1.388084,3.084951,0.9475057,2.703405,SchGtKfsThVl,Sch,Wed Jun 17 22:26:23 2026,True
4,-20.8083,-19.5406,1.777019,4.07874,1.205688,3.535934,SchGtKssTlVl,Sch,Wed Jun 17 22:26:23 2026,True
5,-20.9096,-19.5773,1.872398,4.587596,1.546502,4.009599,SchGtKffTlVl,Sch,Wed Jun 17 22:26:23 2026,True
6,-20.9198,-19.587799999999998,1.872411,4.638745,1.595967,4.060045,SchGtKsfTlVl,Sch,Wed Jun 17 22:26:23 2026,True
7,-20.7951,-19.533,1.768766,4.012398,1.153684,3.472624,SchGtKfsTlVl,Sch,Wed Jun 17 22:26:23 2026,True
8,-20.622999999999998,-19.595000000000002,1.393642,3.141314,0.9938093,2.757561,SchGtKssThVh,Sch,Wed Jun 17 22:26:23 2026,True
9,-20.7093,-19.6451,1.45223,3.574708,1.314851,3.165451,SchGtKffThVh,Sch,Wed Jun 17 22:26:23 2026,True
10,-20.717299999999998,-19.6554,1.449689,3.614768,1.356994,3.205435,SchGtKsfThVh,Sch,Wed Jun 17 22:26:23 2026,True
11,-20.611800000000002,-19.587400000000002,1.388084,3.084951,0.9475057,2.703405,SchGtKfsThVh,Sch,Wed Jun 17 22:26:23 2026,True
12,-20.8083,-19.5406,1.777019,4.07874,1.205688,3.535934,SchGtKssTlVh,Sch,Wed Jun 17 22:26:23 2026,True
13,-20.9096,-19.5773,1.872398,4.587596,1.546502,4.009599,SchGtKffTlVh,Sch,Wed Jun 17 22:26:23 2026,True
14,-20.9198,-19.587799999999998,1.872411,4.638745,1.595967,4.060045,SchGtKsfTlVh,Sch,Wed Jun 17 22:26:23 2026,True
15,-20.7951,-19.533,1.768766,4.012398,1.153684,3.472624,SchGtKfsTlVh,Sch,Wed Jun 17 22:26:23 2026,True
